name,seed,F1@5,Precision@5,Recall@5,NDCG@5,PSP@5,PSDCG@5,MAP@5,F1@10,Precision@10,Recall@10,NDCG@10,PSP@10,PSDCG@10,MAP@10,F1@15,Precision@15,Recall@15,NDCG@15,PSP@15,PSDCG@15,MAP@15,F1@20,Precision@20,Recall@20,NDCG@20,PSP@20,PSDCG@20,MAP@20,F1@25,Precision@25,Recall@25,NDCG@25,PSP@25,PSDCG@25,MAP@25,MRR
MLP,1,0.2528,0.1675,0.5641,0.4726,12.064,35.7215,0.5454,0.1652,0.096,0.6323,0.4926,8.756,44.5053,0.5463,0.1264,0.07,0.6771,0.5111,8.4391,54.7327,0.5385,0.1014,0.0548,0.697,0.5238,7.9889,62.5428,0.5302,0.0844,0.0449,0.708,0.5334,7.1065,66.5079,0.5268,0.7521
MLP,12,0.2415,0.16,0.548,0.4858,8.9073,24.9905,0.5397,0.163,0.0947,0.6273,0.481,7.7939,35.6484,0.5388,0.124,0.0687,0.6716,0.5068,7.2954,43.9807,0.5268,0.1,0.0541,0.6965,0.5217,7.0653,51.4279,0.5246,0.0835,0.0445,0.7105,0.5313,6.5789,56.5192,0.5211,0.7655
MLP,123,0.2541,0.1684,0.5764,0.4803,10.2188,30.605,0.5534,0.1618,0.0941,0.6248,0.4875,7.539,38.627,0.551,0.1203,0.0667,0.6489,0.5094,6.3508,44.0006,0.5459,0.097,0.0524,0.6761,0.5242,6.313,51.3169,0.5434,0.0829,0.0441,0.715,0.5368,6.8884,61.3257,0.5399,0.7741
MLP,1234,0.2595,0.1719,0.5776,0.4764,13.6903,38.8959,0.5517,0.1687,0.098,0.6427,0.4916,9.8514,48.3686,0.5494,0.1259,0.0697,0.6788,0.5129,8.5312,56.2032,0.5437,0.0996,0.0538,0.6929,0.5257,7.0668,59.3651,0.542,0.0845,0.045,0.7152,0.5339,6.9735,66.5647,0.5361,0.765
MLP,12345,0.2581,0.171,0.5805,0.4594,14.4823,39.8286,0.5375,0.1675,0.0974,0.6393,0.4754,11.0047,52.1009,0.5329,0.1237,0.0686,0.6668,0.5052,9.5273,60.557,0.5304,0.0984,0.0532,0.6876,0.5204,7.9602,64.3719,0.5263,0.0829,0.0441,0.7067,0.5291,7.4485,70.2472,0.522,0.7481
SimpleMM,1,0.2588,0.1714,0.598,0.5983,23.3788,75.5151,0.6175,0.163,0.0947,0.6448,0.5793,19.3785,99.4871,0.6127,0.1195,0.0662,0.6678,0.5905,16.2578,112.7239,0.6102,0.0953,0.0515,0.6875,0.5987,13.6677,119.6911,0.6061,0.0794,0.0423,0.6978,0.6048,11.4048,122.2916,0.6031,0.8753
SimpleMM,12,0.2568,0.1701,0.6018,0.6093,24.2127,78.7295,0.6276,0.16,0.093,0.6434,0.5788,18.6067,99.9012,0.6245,0.1187,0.0658,0.6729,0.5936,14.7075,108.9427,0.622,0.0939,0.0508,0.6866,0.602,12.9847,118.3283,0.6178,0.0781,0.0416,0.6978,0.6099,11.2825,123.2191,0.617,0.8723
SimpleMM,123,0.2468,0.1635,0.5836,0.5942,21.2086,71.4932,0.6193,0.1486,0.0864,0.6089,0.5761,14.7124,84.8504,0.6163,0.1121,0.0621,0.6359,0.5826,11.9982,93.5186,0.6075,0.0896,0.0485,0.6531,0.5878,10.7365,101.7443,0.6032,0.075,0.0399,0.6687,0.5928,10.0742,109.9136,0.6004,0.8835
SimpleMM,1234,0.2575,0.1705,0.6007,0.5965,24.4755,81.9316,0.6149,0.1607,0.0934,0.6389,0.5815,18.508,102.5996,0.6141,0.1195,0.0662,0.6672,0.5932,16.3621,118.6746,0.6089,0.0945,0.0511,0.6803,0.5999,13.686,125.3546,0.6029,0.0781,0.0416,0.6899,0.6038,11.7331,129.6723,0.6007,0.8739
SimpleMM,12345,0.2522,0.167,0.5867,0.612,20.9709,74.2727,0.6177,0.1596,0.0927,0.6319,0.5823,16.2875,92.8588,0.612,0.1185,0.0656,0.659,0.5898,14.8306,108.6267,0.6065,0.0937,0.0507,0.6744,0.5963,12.6053,115.4589,0.6036,0.0778,0.0414,0.6843,0.6018,10.649,118.5674,0.6026,0.8676
MTFM,1,0.1944,0.1288,0.4371,0.4845,1.7243,5.0517,0.4157,0.1471,0.0855,0.5473,0.3694,2.073,8.8713,0.4114,0.1076,0.0596,0.5694,0.364,1.8358,10.7015,0.4114,0.0864,0.0467,0.594,0.3803,1.8686,13.0406,0.4108,0.0726,0.0387,0.6122,0.3875,1.7549,14.4558,0.4105,0.7917
MTFM,12,0.1944,0.1288,0.4371,0.51,1.7243,5.0009,0.4078,0.1452,0.0844,0.5469,0.3753,1.9504,8.4566,0.4096,0.1103,0.0611,0.5903,0.3662,1.9462,10.9924,0.4095,0.0878,0.0475,0.6113,0.3855,1.7353,12.2922,0.4089,0.0731,0.0389,0.6204,0.3978,1.6217,13.5769,0.4049,0.8398
MTFM,123,0.1924,0.1275,0.433,0.4761,1.6969,4.9453,0.4034,0.1445,0.084,0.5334,0.3559,1.9386,8.3904,0.4064,0.1076,0.0596,0.5602,0.3459,1.8397,10.5536,0.4022,0.0876,0.0474,0.601,0.355,1.9177,13.1086,0.404,0.0735,0.0391,0.6182,0.3781,1.818,14.6599,0.4018,0.788
MTFM,1234,0.1944,0.1288,0.4371,0.5119,1.7243,5.0749,0.4098,0.1373,0.0798,0.5012,0.3743,1.6828,7.7522,0.408,0.1095,0.0607,0.5789,0.3613,1.8351,10.5797,0.4058,0.0864,0.0467,0.5922,0.3884,1.8779,12.9282,0.4029,0.0723,0.0385,0.6076,0.4031,1.7587,14.3131,0.4031,0.81
MTFM,12345,0.1944,0.1288,0.4371,0.5124,1.7243,5.0478,0.4146,0.1429,0.0831,0.5195,0.39,1.9418,8.5165,0.4089,0.1052,0.0583,0.5516,0.3898,1.6176,9.7804,0.4087,0.0825,0.0446,0.5612,0.3981,1.4181,10.7257,0.4075,0.0708,0.0377,0.5979,0.4081,1.6678,13.6264,0.4061,0.865
LightGCL,1,0.0544,0.036,0.1328,0.0748,,,0.1333,0.0378,0.022,0.1628,0.0793,,,0.138,0.0283,0.0157,0.1714,0.0891,,,0.1393,0.0226,0.0122,0.1757,0.0913,,,0.1397,0.0192,0.0102,0.1828,0.0928,,,0.1392,0.1668
LightGCL,12,0.0511,0.0338,0.1204,0.0522,,,0.1301,0.0348,0.0202,0.1434,0.0611,,,0.1321,0.0267,0.0148,0.1573,0.0646,,,0.131,0.022,0.0119,0.1702,0.0673,,,0.1319,0.0192,0.0102,0.1813,0.0689,,,0.1316,0.1275
LightGCL,123,0.0537,0.0356,0.1286,0.0965,,,0.1351,0.0367,0.0213,0.151,0.0956,,,0.1366,0.0278,0.0154,0.1597,0.0974,,,0.1371,0.024,0.013,0.1754,0.0992,,,0.1362,0.0206,0.011,0.1849,0.1012,,,0.1365,0.1993
LightGCL,1234,0.0511,0.0338,0.1265,0.0538,,,0.1162,0.0355,0.0207,0.1522,0.0601,,,0.1195,0.027,0.0149,0.1636,0.0674,,,0.1202,0.0218,0.0118,0.1717,0.068,,,0.1208,0.0187,0.0099,0.1774,0.0702,,,0.1212,0.1266
LightGCL,12345,0.0577,0.0382,0.1416,0.0874,,,0.1404,0.0393,0.0229,0.1644,0.0874,,,0.1436,0.0286,0.0158,0.1703,0.0883,,,0.1444,0.0236,0.0127,0.1838,0.0909,,,0.1448,0.0203,0.0108,0.1934,0.0927,,,0.1452,0.1767
Contrastive-MM,1,0.2833,0.1877,0.6281,0.6448,17.0217,59.4933,0.6414,0.1792,0.1042,0.6695,0.6252,11.7613,70.0037,0.6332,0.1338,0.0741,0.7051,0.6384,10.6253,81.0931,0.6271,0.1067,0.0577,0.7298,0.6497,9.188,86.8681,0.625,0.0883,0.047,0.7427,0.6575,8.3137,92.121,0.6244,0.9118
Contrastive-MM,12,0.2814,0.1864,0.6326,0.6312,19.4306,65.5079,0.6456,0.1773,0.1031,0.6779,0.6175,14.1481,79.5593,0.6368,0.1322,0.0733,0.7092,0.6259,12.1625,90.3924,0.6326,0.1049,0.0567,0.724,0.6372,9.9678,94.4087,0.6279,0.088,0.0469,0.742,0.6449,9.0146,100.067,0.6252,0.8921
Contrastive-MM,123,0.2814,0.1864,0.6345,0.6302,18.7895,63.3423,0.6474,0.18,0.1046,0.6844,0.6161,14.2749,78.8141,0.6377,0.1335,0.074,0.712,0.6311,11.3359,86.0625,0.6343,0.1073,0.058,0.7356,0.6414,9.5906,91.1722,0.6286,0.0896,0.0477,0.7537,0.6483,8.786,97.3276,0.624,0.8896
Contrastive-MM,1234,0.28,0.1855,0.6279,0.6239,15.7291,52.9559,0.6384,0.1766,0.1026,0.672,0.613,10.9812,62.7093,0.6309,0.1322,0.0733,0.6996,0.6236,9.63,71.8594,0.6245,0.1047,0.0566,0.7167,0.6342,8.3141,76.9707,0.622,0.088,0.0469,0.7367,0.6433,7.3219,80.6354,0.6184,0.8947
Contrastive-MM,12345,0.2867,0.1899,0.6367,0.628,17.0119,54.789,0.6292,0.1811,0.1053,0.6816,0.6142,12.4037,67.4272,0.6259,0.1346,0.0746,0.7118,0.6286,10.2035,75.1666,0.6232,0.1085,0.0587,0.7373,0.6389,9.2044,82.4771,0.6161,0.0901,0.048,0.7459,0.6455,8.1227,86.6024,0.612,0.8863
Random-MM,1,0.2814,0.1864,0.6322,0.649,20.1148,68.771,0.6494,0.1823,0.1059,0.6887,0.6318,17.6244,93.6909,0.6442,0.1327,0.0736,0.708,0.6423,13.097,99.0862,0.6373,0.1053,0.0569,0.7232,0.6535,11.6359,107.7177,0.6344,0.0875,0.0466,0.7369,0.662,9.8528,110.7096,0.6316,0.9109
Random-MM,12,0.2807,0.1859,0.6308,0.6424,17.5961,59.8251,0.6466,0.1781,0.1035,0.6798,0.6253,13.6114,74.9341,0.6379,0.1338,0.0741,0.7085,0.6407,11.1326,83.0911,0.6289,0.1061,0.0574,0.7276,0.6482,9.4407,88.2801,0.628,0.0875,0.0466,0.7383,0.6563,8.2291,91.9552,0.6261,0.9105
Random-MM,123,0.2833,0.1877,0.6344,0.6241,18.2445,59.5465,0.6367,0.18,0.1046,0.6801,0.615,14.2672,76.0703,0.6298,0.1338,0.0741,0.7055,0.63,11.1657,82.5799,0.6223,0.1077,0.0582,0.735,0.639,10.5004,92.6494,0.6191,0.0892,0.0475,0.7454,0.6487,8.9295,95.5722,0.6168,0.8898
Random-MM,1234,0.2827,0.1873,0.6346,0.6307,21.7367,72.0568,0.6419,0.1773,0.1031,0.6757,0.6191,16.9715,91.4773,0.6356,0.1311,0.0727,0.6946,0.6291,12.9488,97.9325,0.6291,0.1045,0.0565,0.7155,0.6417,10.7736,102.9576,0.6263,0.088,0.0469,0.738,0.6461,9.8023,109.4124,0.6207,0.9132
Random-MM,12345,0.2827,0.1873,0.6293,0.6364,18.02,63.1447,0.638,0.1804,0.1048,0.6754,0.6171,13.3875,77.5487,0.6361,0.133,0.0737,0.7022,0.6361,10.713,84.6537,0.6352,0.1061,0.0574,0.7259,0.6479,9.061,89.5489,0.6315,0.0896,0.0477,0.7493,0.6533,8.8454,98.2157,0.6258,0.9029
FISR,1,0.1938,0.1284,0.436,0.2692,2.4099,6.6966,0.4119,0.1392,0.0809,0.5335,0.2886,8.2998,29.9353,0.4129,0.1105,0.0612,0.5986,0.3104,6.8234,35.0609,0.4137,0.0919,0.0497,0.6391,0.3282,5.9319,38.9487,0.408,0.0773,0.0411,0.6589,0.3452,5.0622,40.6778,0.406,0.3982
FISR,12,0.1951,0.1292,0.4393,0.2753,2.4338,6.7665,0.414,0.141,0.082,0.5456,0.2849,7.5226,26.629,0.4152,0.1108,0.0614,0.5989,0.3132,7.2175,35.3575,0.4148,0.0898,0.0486,0.6306,0.3317,5.8087,37.2382,0.4117,0.0773,0.0411,0.6557,0.3467,5.0492,39.4415,0.407,0.4007
FISR,123,0.1944,0.1288,0.4382,0.2712,2.4219,6.7438,0.4133,0.1437,0.0835,0.5599,0.2823,8.6981,29.8873,0.4164,0.1063,0.0589,0.5806,0.3072,7.2392,35.8024,0.4165,0.0884,0.0478,0.6191,0.3292,5.7307,37.2425,0.4143,0.074,0.0394,0.6368,0.3448,5.1089,40.1545,0.4119,0.3883
FISR,1234,0.1944,0.1288,0.4382,0.2746,2.4219,6.4912,0.4131,0.1407,0.0818,0.5445,0.2879,7.4382,26.3578,0.4145,0.1105,0.0612,0.5986,0.3147,6.8234,33.7166,0.4145,0.0913,0.0493,0.6361,0.3331,5.8776,37.3558,0.4092,0.0771,0.0411,0.6553,0.3436,5.0097,39.0518,0.4066,0.3987
FISR,12345,0.1944,0.1288,0.4382,0.2744,2.4219,6.5002,0.4132,0.1403,0.0815,0.5423,0.2865,7.4199,26.3654,0.4143,0.1108,0.0614,0.5989,0.3128,7.2175,35.4131,0.4146,0.0907,0.049,0.6354,0.3304,5.8811,37.6234,0.4092,0.0769,0.041,0.6545,0.3447,4.9875,39.1646,0.4069,0.3978
Contras-MM-10,1,0.2847,0.1886,0.6362,0.6238,24.6528,78.9633,0.6413,0.18,0.1046,0.675,0.6177,17.6218,96.3164,0.6377,0.1325,0.0734,0.706,0.629,14.6543,107.9712,0.6331,0.1057,0.0571,0.7276,0.6391,11.9625,112.5966,0.6292,0.0873,0.0465,0.7358,0.6466,9.8493,114.112,0.6267,0.8874
Contras-MM-10,12,0.286,0.1895,0.6423,0.6353,20.9945,68.5287,0.6442,0.1743,0.1013,0.6679,0.6167,13.1691,77.1065,0.6377,0.1322,0.0733,0.7106,0.6266,12.1449,90.3699,0.6326,0.1043,0.0564,0.7204,0.6344,9.9375,94.2563,0.6294,0.087,0.0463,0.7335,0.6426,9.227,101.3146,0.6264,0.8866
Contras-MM-10,123,0.2774,0.1837,0.6218,0.6166,13.276,45.5774,0.6267,0.1815,0.1055,0.6818,0.6079,10.9465,59.392,0.6192,0.1346,0.0746,0.712,0.6209,9.9883,69.9554,0.6141,0.1069,0.0578,0.7321,0.6334,8.5234,74.7935,0.6089,0.0888,0.0473,0.7468,0.6423,7.3386,77.6199,0.6074,0.8905
Contras-MM-10,1234,0.2807,0.1859,0.6266,0.619,15.256,52.1209,0.6321,0.1773,0.1031,0.6677,0.6103,11.4836,64.412,0.6213,0.1304,0.0722,0.693,0.6227,9.2837,70.9506,0.6189,0.1047,0.0566,0.7176,0.6343,8.3812,77.6648,0.6161,0.0882,0.0469,0.7346,0.6404,7.5775,82.4532,0.6098,0.889
Contras-MM-10,12345,0.2794,0.1851,0.6233,0.6148,14.24,49.9427,0.629,0.1766,0.1026,0.6653,0.607,9.5349,58.0206,0.624,0.1325,0.0734,0.696,0.6214,8.3362,65.9642,0.6176,0.1061,0.0574,0.7173,0.6363,7.5364,72.0657,0.6132,0.0895,0.0476,0.7416,0.6453,7.1509,78.2039,0.6071,0.8996
Contras-MM-20,1,0.2853,0.189,0.6298,0.648,19.8612,66.9648,0.6397,0.1819,0.1057,0.6793,0.6262,16.1687,87.1119,0.6377,0.1335,0.074,0.7049,0.6419,13.0746,96.3146,0.6339,0.1069,0.0578,0.7263,0.65,11.0733,102.3004,0.6283,0.0895,0.0476,0.7447,0.6592,9.925,108.1677,0.6252,0.9122
Contras-MM-20,12,0.2814,0.1864,0.6356,0.6342,20.0311,64.8223,0.6459,0.1773,0.1031,0.6776,0.6155,14.1999,78.2785,0.6352,0.1322,0.0733,0.7086,0.6276,12.1575,88.8524,0.6307,0.1053,0.0569,0.7284,0.6348,10.1942,93.9305,0.6265,0.088,0.0469,0.74,0.6432,9.5688,101.6243,0.6242,0.8834
Contras-MM-20,123,0.2794,0.1851,0.623,0.6148,13.6199,46.4819,0.6256,0.1823,0.1059,0.6825,0.6054,11.2063,60.4257,0.6186,0.1341,0.0743,0.7111,0.6193,9.7162,69.2475,0.6136,0.1063,0.0575,0.7286,0.6313,8.1614,73.389,0.6086,0.0888,0.0473,0.7457,0.6432,7.3149,77.682,0.6055,0.8869
Contras-MM-20,1234,0.2867,0.1899,0.6314,0.6227,16.9613,56.098,0.6373,0.1804,0.1048,0.6783,0.6106,12.1543,67.7237,0.63,0.1333,0.0738,0.7042,0.6271,10.7796,78.2434,0.6247,0.1057,0.0571,0.7212,0.6364,9.1187,83.2173,0.6206,0.0882,0.0469,0.7355,0.6434,8.084,87.489,0.6158,0.8823
Contras-MM-20,12345,0.2893,0.1916,0.6437,0.6253,20.6951,67.4942,0.6345,0.1804,0.1048,0.6796,0.6206,13.4679,77.2818,0.6303,0.1338,0.0741,0.7061,0.6347,11.6499,87.9555,0.6252,0.1067,0.0577,0.7261,0.6467,10.5521,96.4373,0.6216,0.0898,0.0478,0.747,0.653,10.0708,105.3663,0.6162,0.9044
Contras-MM-30,1,0.2833,0.1877,0.6261,0.642,17.1098,60.3236,0.6427,0.1777,0.1033,0.6662,0.6264,11.4881,69.8381,0.6332,0.1338,0.0741,0.7039,0.6379,10.9416,82.9604,0.6296,0.1071,0.0579,0.7273,0.6483,9.9611,91.2575,0.6256,0.0887,0.0472,0.7365,0.6578,8.5645,94.4933,0.6239,0.9168
Contras-MM-30,12,0.2847,0.1886,0.6336,0.6399,19.2079,64.5542,0.6504,0.1811,0.1053,0.6842,0.6193,15.1829,82.3407,0.6424,0.1325,0.0734,0.7048,0.6355,11.5168,87.9004,0.6385,0.1055,0.057,0.7234,0.6452,10.5225,96.7844,0.6351,0.088,0.0469,0.7378,0.6527,9.3283,101.7298,0.6324,0.881
Contras-MM-30,123,0.2814,0.1864,0.6302,0.6228,15.2031,51.5554,0.6392,0.1796,0.1044,0.6813,0.6155,11.4696,64.0261,0.6319,0.1346,0.0746,0.715,0.623,10.228,74.1419,0.625,0.1073,0.058,0.7355,0.636,8.6755,78.9016,0.6222,0.0896,0.0477,0.7501,0.6435,7.5582,82.2595,0.6172,0.897
Contras-MM-30,1234,0.286,0.1895,0.6316,0.6253,17.3343,56.5789,0.6353,0.1804,0.1048,0.6783,0.6104,12.4365,68.3907,0.6293,0.1327,0.0736,0.7002,0.6253,10.1551,75.6828,0.6239,0.1053,0.0569,0.7206,0.6379,8.9464,82.0117,0.6186,0.0887,0.0472,0.7425,0.6429,8.0105,86.6483,0.6146,0.8795
Contras-MM-30,12345,0.2787,0.1846,0.6269,0.6298,17.2191,59.7206,0.6333,0.1811,0.1053,0.677,0.615,15.0547,79.9777,0.6257,0.133,0.0737,0.7047,0.6306,11.2681,84.8227,0.6228,0.1065,0.0576,0.7266,0.6443,10.2201,93.2685,0.6191,0.0893,0.0476,0.7478,0.6527,9.4543,100.2995,0.6169,0.8952
Contras-MM-40,1,0.2827,0.1873,0.6262,0.6415,17.1125,60.4641,0.644,0.1792,0.1042,0.6739,0.6283,12.5108,73.0689,0.6352,0.1338,0.0741,0.7018,0.6379,10.9351,83.3428,0.6292,0.1071,0.0579,0.7279,0.6503,9.8752,91.3084,0.6252,0.0895,0.0476,0.7456,0.6591,9.2228,98.4428,0.6242,0.9196
Contras-MM-40,12,0.2827,0.1873,0.6332,0.6357,19.6988,65.6774,0.6443,0.1773,0.1031,0.6761,0.6208,14.2931,80.346,0.6378,0.1322,0.0733,0.7079,0.6303,12.639,92.5351,0.6309,0.1047,0.0566,0.7263,0.6419,10.2551,96.1974,0.6291,0.087,0.0463,0.7385,0.6487,8.6851,98.8325,0.6279,0.8932
Contras-MM-40,123,0.2847,0.1886,0.6399,0.6275,17.2031,56.3043,0.6374,0.1804,0.1048,0.684,0.6195,12.3626,68.3439,0.6311,0.1351,0.0749,0.7145,0.6325,10.5179,77.3898,0.6252,0.1083,0.0586,0.7416,0.6438,9.1734,83.5131,0.6194,0.0893,0.0476,0.7516,0.6523,7.8332,86.2589,0.6174,0.9061
Contras-MM-40,1234,0.2807,0.1859,0.6264,0.6208,15.6271,52.4067,0.6303,0.1785,0.1037,0.6696,0.6125,11.6777,64.6099,0.6196,0.1322,0.0733,0.7011,0.6247,9.8725,72.816,0.6174,0.1045,0.0565,0.7144,0.6357,8.1223,76.2129,0.6137,0.0877,0.0467,0.7297,0.6444,7.5007,81.6831,0.6102,0.8878
Contras-MM-40,12345,0.2867,0.1899,0.6362,0.629,19.7649,67.0758,0.6393,0.18,0.1046,0.6805,0.6218,13.9401,79.8847,0.6335,0.1346,0.0746,0.7103,0.6333,11.5266,88.5768,0.6283,0.1067,0.0577,0.7273,0.6437,9.9515,94.7709,0.6253,0.0893,0.0476,0.7464,0.6529,9.5349,103.2866,0.6204,0.8971
Contras-MM-50,1,0.2853,0.189,0.6294,0.6393,19.716,66.9675,0.6446,0.1815,0.1055,0.6782,0.6242,16.1043,87.5281,0.6395,0.1338,0.0741,0.7073,0.6396,13.5583,98.6853,0.6387,0.1067,0.0577,0.7242,0.6476,11.0576,102.9371,0.6321,0.0898,0.0478,0.7486,0.6569,10.1402,110.0352,0.6267,0.9
Contras-MM-50,12,0.278,0.1842,0.6253,0.6359,17.5147,61.3182,0.6496,0.1792,0.1042,0.6785,0.6133,14.1413,78.7657,0.6394,0.1338,0.0741,0.7163,0.6289,13.7411,95.7877,0.6352,0.1061,0.0574,0.7289,0.641,11.3717,100.7487,0.6299,0.0873,0.0465,0.7346,0.648,9.3132,101.9332,0.6278,0.8851
Contras-MM-50,123,0.2827,0.1873,0.6309,0.6223,18.3648,60.9872,0.6374,0.1785,0.1037,0.6789,0.6179,13.8778,76.4889,0.6332,0.1327,0.0736,0.7174,0.6299,12.4272,89.0842,0.6258,0.1071,0.0579,0.7405,0.6388,10.6984,95.6152,0.6216,0.0898,0.0478,0.7591,0.6453,9.6951,101.8173,0.6169,0.8974
Contras-MM-50,1234,0.282,0.1868,0.6271,0.6173,15.9335,53.9526,0.6369,0.1777,0.1033,0.6699,0.6114,11.86,66.3212,0.6267,0.1311,0.0727,0.6984,0.6244,9.534,72.7556,0.6226,0.1055,0.057,0.7212,0.6359,8.4176,78.7362,0.6196,0.0878,0.0468,0.7314,0.6441,7.4775,82.7721,0.6161,0.89
Contras-MM-50,12345,0.2873,0.1903,0.6382,0.6271,20.3958,67.3991,0.6355,0.1785,0.1037,0.6722,0.6187,13.2514,77.1527,0.631,0.1338,0.0741,0.709,0.6314,11.3866,87.157,0.6279,0.1063,0.0575,0.7272,0.6454,9.6593,92.4764,0.6245,0.0896,0.0477,0.7463,0.6535,9.6227,102.7467,0.6201,0.9008
Contras-MM-60,1,0.284,0.1881,0.6296,0.64,19.3514,65.7001,0.6467,0.1819,0.1057,0.6763,0.6247,15.8174,85.5848,0.6392,0.1348,0.0747,0.7101,0.6379,13.5284,97.4856,0.6341,0.1067,0.0577,0.7281,0.6467,11.3985,103.406,0.6328,0.0896,0.0477,0.7499,0.6576,9.937,107.8854,0.627,0.8984
Contras-MM-60,12,0.2787,0.1846,0.6281,0.6389,18.6919,63.4096,0.6476,0.1773,0.1031,0.6769,0.614,13.6935,77.4866,0.6384,0.1346,0.0746,0.7192,0.6297,13.8071,96.095,0.6307,0.1057,0.0571,0.7292,0.6394,11.2774,100.4657,0.6285,0.0872,0.0464,0.7343,0.6481,9.5553,103.3543,0.6259,0.8871
Contras-MM-60,123,0.28,0.1855,0.6237,0.612,14.205,47.9116,0.6255,0.1826,0.1062,0.6869,0.6069,10.8784,59.9647,0.6205,0.1338,0.0741,0.7111,0.6198,9.6845,69.5295,0.6169,0.1065,0.0576,0.7326,0.6344,8.3367,74.5924,0.6112,0.0895,0.0476,0.7498,0.6437,7.5095,79.1689,0.6059,0.8874
